Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ALSO3,ALIANSCSONAE,ON NM,100.529.456,"8,091"
BRML3,BR MALLS PAR,ON NM,682.652.270,"20,442"
BRPR3,BR PROPERT,ON NM,117.801.430,"2,852"
CYRE3,CYRELA REALT,ON NM,263.583.096,"12,503"
DIRR3,DIRECIONAL,ON NM,76.763.694,"1,959"
EVEN3,EVEN,ON NM,205.280.287,"4,244"
EZTC3,EZTEC,ON NM,68.626.741,"5,009"
GFSA3,GAFISA,ON NM,67.798.040,"0,846"
IGTA3,IGUATEMI,ON NM,86.913.923,"8,454"
LOGG3,LOG COM PROP,ON NM,47.750.725,"2,455"
MRVE3,MRV,ON NM,292.910.667,"10,560"
MULT3,MULTIPLAN,ON N2,270.279.854,"15,902"
TCSA3,TECNISA,ON NM,547.783.816,"1,428"
TEND3,TENDA,ON NM,99.197.204,"5,255"
Quantidade Teórica Total,,,2.927.871.203,"100,000"
Redutor,,,"44.343.176,49520800",
